iter	Passed	Remaining
236	14004	45087
237	14085	45097
238	14159	45085
239	14230	45064
240	14304	45049
241	14373	45020
242	14445	44999
243	14516	44978
244	14587	44953
245	14662	44942
246	14719	44872
247	14767	44779
248	14817	44689
249	14869	44607
250	14921	44527
251	14972	44443
252	15026	44366
253	15081	44295
254	15143	44241
255	15201	44180
256	15262	44123
257	15323	44070
258	15385	44016
259	15453	43982
260	15527	43963
261	15593	43922
262	15657	43877
263	15711	43800
264	15761	43715
265	15814	43637
266	15867	43561
267	15917	43477
268	15972	43404
269	16021	43317
270	16080	43257
271	16133	43180
272	16192	43119
273	16253	43066
274	16317	43018
275	16386	42984
276	16452	42942
277	16522	42911
278	16589	42871
279	16672	42873
280	16727	42799
281	16778	42720
282	16829	42638
283	16882	42562
284	16936	42489
285	16988	42412
286	17044	42343
287	17102	42282
288	17160	42217
289	17218	42156
290	17281	42105
291	17341	42046
292	17398	41981
293	17457	41921
294	17517	41863
295	17577	41805
296	17634	41741
297	17690	41672
298	17742	41597
299	17797	41527
300	17848	41449
301	17902	41378
302	17956	41306
303	18009	41232
304	18065	41165
305	18123	41102
306	18186	41053
307	18253	41010
308	18318	40964
309	18381	40914
310	18450	40875
311	18519	40837
312	18581	40784
313	18641	40727
314	18692	40648
315	18745	40575
316	18798	40501
317	18848	40423
318	18904	40356
319	18954	40278
320	19006	40203
321	19058	40128
322	19107	40049
323	19162	39980
324	19227	39933
325	19293	39889
326	19360	39845
327	19429	39807
328	19496	39762
329	19563	39719
330	19633	39681
331	19695	39628
332	19747	39554
333	19798	39477
334	19849	39402
335	19903	39333
336	19963	39276
337	20019	39210
338	20077	39147
339	20132	39081
340	20189	39017
341	20246	38953
342	20296	38877
343	20348	38803
344	20403	38737
345	20464	38681
346	20524	38624
347	20587	38571
348	20652	38524
349	20702	38447
350	20751	38370
351	20803	38297
352	20851	38218
353	20902	38143
354	20950	38064
355	21000	37989
356	21047	37909
357	21095	37830
358	21152	37768
359	21206	37701
360	21262	37636
361	21315	37567
362	21369	37499
363	21420	37426
364	21472	37355
365	21524	37286
366	21574	37211
367	21622	37134
368	21675	37066
369	21723	36989
370	21771	36911
371	21818	36833
372	21865	36754
373	21917	36685
374	21971	36618
375	22022	36547
376	22073	36476
377	22120	36400
378	22169	36324
379	22223	36259
380	22277	36194
381	22331	36127
382	22385	36062
383	22437	35993
384	22498	35938
385	22558	35883
386	22623	35835
387	22686	35783
388	22731	35704
389	22783	35635
390	22841	35575
391	22897	35514
392	22952	35450
393	23005	35384
394	23058	35317
395	23111	35251
396	23168	35190
397	23232	35140
398	23298	35093
399	23360	35040
